Challenge Area,Challenge Sub-Area,Challenge Component,Benchmark ID,Dataset,Data Producer,Year,Producer ID,Indicator Title,Indicator ID,Source Indicator ID,Indicator Question,Indicator Description,Value Max,Possible Text Values,Qual. Assessment,URL(s),Core vs Context,Cluster?,Primary,Secondary,Rest,All
Access to Information,Independent Oversight,NA,ati_over_01,Global Right to Information Rating,Centre for Law and Democracy; Access Info Europe,2025,CLD,Appeal to Oversight,ati_over_appeals,37,Requesters have the right to lodge an (external) appeal with an independent administrative oversight body (e.g. an information commission or ombudsman).,"From RTI Rating: Score 1 for partial, 2 for yes",2,No; Partial; Yes,1,https://www.rti-rating.org/country-data/by-indicator/37/,Core,0,,,,RCID_227; RCID_228; RCID_229; RCID_230; RCID_231; RCID_232; RCID_233; RCID_234; RCID_235; RCID_236; RCID_237; RCID_238; RCID_239; RCID_240; RCID_241; RCID_242; RCID_243; RCID_244
Access to Information,Independent Oversight,NA,ati_over_02,Global Right to Information Rating,Centre for Law and Democracy; Access Info Europe,2025,CLD,Appointed Oversight,ati_over_appoint,38; 39,"The member(s) of the oversight body are appointed in a manner that is protected against political interference and have security of tenure so that they are protected against arbitrary dismissal (procedurally/substantively) once appointed.; The oversight body reports to and has its budget approved by the parliament, or other effective mechanisms are in place to protect its financial independence.","From RTI Rating: 38: Score 1 point for appointment procedure, 1 point for security of tenure; 39: Score 1 point for reports to parliament, 1 point for budget approved by parliament
For Benchmarking purposes, countries recieve 'Yes' for top scores on both indicators, 'No' for no points on either indicator, and 'Partial' for partial point.s ",2,No; Partial; Yes,1,https://www.rti-rating.org/country-data/by-indicator/38; 39/,Core,0,,,,RCID_227; RCID_228; RCID_229; RCID_230; RCID_231; RCID_232; RCID_233; RCID_234; RCID_235; RCID_236; RCID_237; RCID_238; RCID_239; RCID_240; RCID_241; RCID_242; RCID_243; RCID_244
Access to Information,Independent Oversight,NA,ati_over_03,Global Right to Information Rating,Centre for Law and Democracy; Access Info Europe,2025,CLD,Binding Oversight,ati_over_binding,42,The decisions of the independent oversight body are binding.,"From RTI Rating: N=0, Y=2 points",2,No; Partial; Yes,1,https://www.rti-rating.org/country-data/by-indicator/42/,Core,0,,,,RCID_227; RCID_228; RCID_229; RCID_230; RCID_231; RCID_232; RCID_233; RCID_234; RCID_235; RCID_236; RCID_237; RCID_238; RCID_239; RCID_240; RCID_241; RCID_242; RCID_243; RCID_244
Access to Information,Independent Oversight,NA,ati_over_04,Global Right to Information Rating,Centre for Law and Democracy; Access Info Europe,2025,CLD,Remedies for Requester,ati_over_remedies,43,"In deciding an appeal, the independent oversight body has the power to order appropriate remedies for the requester, including the declassification of information.","From RTI Rating: Score 1 for partial, 2 for fully",2,No; Partial; Yes,1,https://www.rti-rating.org/country-data/by-indicator/43/,Core,0,,,,RCID_227; RCID_228; RCID_229; RCID_230; RCID_231; RCID_232; RCID_233; RCID_234; RCID_235; RCID_236; RCID_237; RCID_238; RCID_239; RCID_240; RCID_241; RCID_242; RCID_243; RCID_244
Access to Information,Legal Frameworks,NA,ati_law_01,Global Right to Information Rating,Centre for Law and Democracy; Access Info Europe,2025,CLD,Right to File,ati_law_requester,4,Everyone (including non-citizens and legal entities) has the right to file requests.,From RTI Rating: Score 0 point if only residents/citizens; 1 point for all natural persons; 1 point for legal persons.,2,No; Partial; Yes,1,https://www.rti-rating.org/country-data/by-indicator/4/,Core,0,,,,RCID_227; RCID_228; RCID_229; RCID_230; RCID_231; RCID_232; RCID_233; RCID_234; RCID_235; RCID_236; RCID_237; RCID_238; RCID_239; RCID_240; RCID_241; RCID_242; RCID_243; RCID_244
Access to Information,Legal Frameworks,NA,ati_law_02,Global Right to Information Rating,Centre for Law and Democracy; Access Info Europe,2025,CLD,Response Times,ati_law_response,22,"There are clear and reasonable maximum timelines (20 working days or less) for responding to requests, regardless of the manner of satisfying the request.","From RTI Rating: Score 1 point for timeframes of 20 working days (or 1 month, 30 days or 4 weeks). Score 2 points for 10 working days (or 15 days, or two weeks) or less.        ",2,No; Partial; Yes,1,https://www.rti-rating.org/country-data/by-indicator/22/,Core,0,,,,RCID_227; RCID_228; RCID_229; RCID_230; RCID_231; RCID_232; RCID_233; RCID_234; RCID_235; RCID_236; RCID_237; RCID_238; RCID_239; RCID_240; RCID_241; RCID_242; RCID_243; RCID_244
Access to Information,Legal Frameworks,NA,ati_law_03,Global Right to Information Rating,Centre for Law and Democracy; Access Info Europe,2025,CLD,Request Cost,ati_law_cost,25,"There are clear rules relating to access fees, which are set centrally, rather than being determined by individual public authorities. These include a requirement that fees be limited to the cost of reproducing and sending the information (so that inspection of documents and electronic copies are free) and that a certain initial number of pages (at least 20) are provided for free.","Score 1 point for fees being limited to reproduction and delivery costs and set centrally, 1 point for at least 20 pages free of charge or for fees being optional",2,No; Partial; Yes,1,https://www.rti-rating.org/country-data/by-indicator/25/,Core,0,,,,RCID_227; RCID_228; RCID_229; RCID_230; RCID_231; RCID_232; RCID_233; RCID_234; RCID_235; RCID_236; RCID_237; RCID_238; RCID_239; RCID_240; RCID_241; RCID_242; RCID_243; RCID_244
Access to Information,Legal Frameworks,NA,ati_law_04,Global Right to Information Rating,Centre for Law and Democracy; Access Info Europe,2025,CLD,Exceptions,,31,,"From RTI Rating: Consider whether the override is subject to overarching limitations, whether it applies to only some exceptions, and whether it is mandatory.        ",2,No; Partial; Yes,1,https://www.rti-rating.org/country-data/by-indicator/31/,Core,0,,,,RCID_227; RCID_228; RCID_229; RCID_230; RCID_231; RCID_232; RCID_233; RCID_234; RCID_235; RCID_236; RCID_237; RCID_238; RCID_239; RCID_240; RCID_241; RCID_242; RCID_243; RCID_244
Access to Information,Legal Frameworks,NA,,Global Right to Information Rating,Centre for Law and Democracy; Access Info Europe,2025,CLD,Exceptions,,30,,,2,No; Partial; Yes,1,https://www.rti-rating.org/country-data/by-indicator/30/,Core,,,,,RCID_227; RCID_228; RCID_229; RCID_230; RCID_231; RCID_232; RCID_233; RCID_234; RCID_235; RCID_236; RCID_237; RCID_238; RCID_239; RCID_240; RCID_241; RCID_242; RCID_243; RCID_244
Access to Information,Legal Frameworks,NA,ati_law_05,Global Right to Information Rating,Centre for Law and Democracy; Access Info Europe,2025,CLD,Awareness Raising,ati_law_aware,56,Public awareness-raising efforts (e.g. producing a guide for the public or introducing RTI awareness into schools) are required to be undertaken by law.,"From RTI Rating: Score Y/N, Y=2 points       ",2,No; Partial; Yes,1,https://www.rti-rating.org/country-data/by-indicator/56/,Core,0,,,,RCID_227; RCID_228; RCID_229; RCID_230; RCID_231; RCID_232; RCID_233; RCID_234; RCID_235; RCID_236; RCID_237; RCID_238; RCID_239; RCID_240; RCID_241; RCID_242; RCID_243; RCID_244
